Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,36.88832319735202,37.28117008976259,35.199081559986595,36.632972717285156,53228400,0.0,0.0
2000-01-04,35.69013531226561,36.809748803074164,35.27764613144141,35.39550018310547,54119000,0.0,0.0
2000-01-05,34.9240827858939,36.57403945294401,34.37409723021053,35.76870346069336,64059600,0.0,0.0
2000-01-06,35.25801206718792,35.7883554241874,34.059828927300195,34.57052993774414,54976600,0.0,0.0
2000-01-07,34.13838776884223,35.27764351716954,33.725898618585795,35.02229309082031,62013600,0.0,0.0
2000-01-10,35.65084188711935,35.729411235630906,35.002644761899,35.27763748168945,44963600,0.0,0.0
2000-01-11,35.04194327218192,35.90620644705636,34.158037752423965,34.37410354614258,46743600,0.0,0.0
2000-01-12,34.09909899419254,34.21695302297431,32.822347015723345,33.254478454589844,66532400,0.0,0.0
2000-01-13,32.8027125261832,34.13839183862658,31.899164756000904,33.88304138183594,83144000,0.0,0.0
2000-01-14,33.68660817433041,35.80798058414247,33.23483442038895,35.27763748168945,73416400,0.0,0.0
2000-01-18,35.140152513043994,36.61332827518949,35.120510169548716,36.2401237487793,81483600,0.0,0.0
2000-01-19,34.72765262995925,35.0419300293254,33.31340433281159,33.627681732177734,97568200,0.0,0.0
2000-01-20,33.6473199646428,34.47229803733106,33.274115598426675,33.31340026855469,56349800,0.0,0.0
2000-01-21,33.62769073118647,33.706260102053726,32.449150168177596,32.60628890991211,68416200,0.0,0.0
2000-01-24,32.62102219822966,33.21520309330504,31.683100289474297,31.82059669494629,63597600,0.0,0.0
2000-01-25,31.742032704454786,32.6455806651014,31.290258724131483,32.31166076660156,59823200,0.0,0.0
2000-01-26,32.19378422071349,32.52770388621204,31.152740557688585,31.23130989074707,49365000,0.0,0.0
2000-01-27,31.393375339689136,31.800953965247434,30.56348633102224,31.034902572631836,63654800,0.0,0.0
2000-01-28,30.838471441778516,31.50631095070875,30.56347870280724,30.877756118774414,58225400,0.0,0.0
2000-01-31,30.68134501275736,30.858126129988356,29.81708177296138,30.75991439819336,73194200,0.0,0.0
2000-02-01,30.95633427446802,32.449152424759625,30.700983801391825,32.3509407043457,70196600,0.0,0.0
2000-02-02,32.193796796378926,32.66521297887624,31.584884227319897,31.683095932006836,49915600,0.0,0.0
2000-02-03,32.07595033266001,32.74379008239084,31.467037619670137,32.56700897216797,49186000,0.0,0.0
2000-02-04,32.80270672124152,33.94196240377566,32.72904794866388,33.49018859863281,55365400,0.0,0.0
2000-02-07,33.56876513491202,33.58840747846668,32.76342904917101,33.50983810424805,40005800,0.0,0.0
2000-02-08,33.450912946188154,34.57052659148042,33.450912946188154,34.55088424682617,56229000,0.0,0.0
2000-02-09,34.3937401335973,34.3937401335973,32.645571731604065,32.68485641479492,55090000,0.0,0.0
2000-02-10,32.65047146014447,33.49018128413074,32.213429504970335,33.31340026855469,54527800,0.0,0.0
2000-02-11,32.95985291882408,32.95985291882408,31.152757287994632,31.40810775756836,115559000,0.0,0.0
2000-02-14,31.815690705587752,31.97774006402029,31.13311916552344,31.309900283813477,81028600,0.0,0.0
2000-02-15,31.34917376414839,31.427743121953274,30.83847293841665,30.975969314575195,71027600,0.0,0.0
2000-02-16,31.192053747238177,31.486689015631484,30.52421380554668,30.681352615356445,65202600,0.0,0.0
2000-02-17,30.956338047233398,31.32954263029015,30.529117011365805,31.309900283813477,80343400,0.0,0.0
2000-02-18,31.427762384558882,31.447404736049233,29.81708956235024,29.87601661682129,79063000,0.0,0.0
2000-02-22,29.89564539828672,30.524200360668573,29.16887872303271,29.483156204223633,66296200,0.0,0.0
2000-02-23,29.384950713706587,30.092075196121986,28.93317673883008,29.62065887451172,75847200,0.0,0.0
